Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-10-15,012-001-089-008,Charles Chong ,True,"Mr Charles Chong (Joo Chiat), Deputy Speaker."
2012-10-15,012-001-089-008,Christopher de Souza ,True,Mr Christopher de Souza (Holland-Bukit Timah).
2012-10-15,012-001-089-008,R Dhinakaran ,True,Mr R Dhinakaran (Nominated Member).
2012-10-15,012-001-089-008,Faizah Jamal ,True,Ms Faizah Jamal (Nominated Member).
2012-10-15,012-001-089-008,Nicholas Fang ,True,Mr Nicholas Fang (Nominated Member).
2012-10-15,012-001-089-008,Fatimah Lateef ,True,Assoc Prof Fatimah Lateef (Marine Parade).
2012-10-15,012-001-089-008,Arthur Fong ,True,Mr Arthur Fong (West Coast).
2012-10-15,012-001-089-008,Cedric Foo Chee Keng ,True,Mr Cedric Foo Chee Keng (Pioneer).
2012-10-15,012-001-089-008,Foo Mee Har ,True,Ms Foo Mee Har (West Coast).
2012-10-15,012-001-089-008,Grace Fu Hai Yien ,True,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs."
2012-10-15,012-001-089-008,Gan Kim Yong ,True,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health and Government Whip."
2012-10-15,012-001-089-008,Gan Thiam Poh ,True,Mr Gan Thiam Poh (Pasir Ris-Punggol).
2012-10-15,012-001-089-008,Gerald Giam Yean Song ,True,Mr Gerald Giam Yean Song (Non-Constituency Member).
2012-10-15,012-001-089-008,Halimah Yacob ,True,"Mdm Halimah Yacob (Jurong), Minister of State for Community Development, Youth and Sports."
2012-10-15,012-001-089-008,Hawazi Daipi ,True,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Acting Minister for Manpower."
2012-10-15,012-001-089-008,Heng Chee How ,True,"Mr Heng Chee How (Whampoa), Senior Minister of State, Prime Minister's Office and Deputy Leader of the House."
2012-10-15,012-001-089-008,Heng Swee Keat ,True,"Mr Heng Swee Keat (Tampines), Minister for Education."
2012-10-15,012-001-089-008,Hri Kumar Nair ,True,Mr Hri Kumar Nair (Bishan-Toa Payoh).
2012-10-15,012-001-089-008,Indranee Rajah ,True,Ms Indranee Rajah (Tanjong Pagar).
